meeting_key,circuit_short_name,location,country_name,date,weather_type
1140,Sakhir,Sakhir,Bahrain,2023-02-23,No Rain
1140,Sakhir,Sakhir,Bahrain,2023-02-24,No Rain
1140,Sakhir,Sakhir,Bahrain,2023-02-25,No Rain
1141,Sakhir,Sakhir,Bahrain,2023-03-03,No Rain
1141,Sakhir,Sakhir,Bahrain,2023-03-04,No Rain
1141,Sakhir,Sakhir,Bahrain,2023-03-05,No Rain
1142,Jeddah,Jeddah,Saudi Arabia,2023-03-17,No Rain
1142,Jeddah,Jeddah,Saudi Arabia,2023-03-18,No Rain
1142,Jeddah,Jeddah,Saudi Arabia,2023-03-19,No Rain
1143,Melbourne,Melbourne,Australia,2023-03-31,Rain
1143,Melbourne,Melbourne,Australia,2023-04-01,Rain
1143,Melbourne,Melbourne,Australia,2023-04-02,No Rain
1207,Baku,Baku,Azerbaijan,2023-04-28,No Rain
1207,Baku,Baku,Azerbaijan,2023-04-29,Rain
1207,Baku,Baku,Azerbaijan,2023-04-30,No Rain
1208,Miami,Miami,United States,2023-05-05,No Rain
1208,Miami,Miami,United States,2023-05-06,No Rain
1208,Miami,Miami,United States,2023-05-07,No Rain
1210,Monte Carlo,Monaco,Monaco,2023-05-26,No Rain
1210,Monte Carlo,Monaco,Monaco,2023-05-27,No Rain
1210,Monte Carlo,Monaco,Monaco,2023-05-28,Rain
1211,Catalunya,Barcelona,Spain,2023-06-02,No Rain
1211,Catalunya,Barcelona,Spain,2023-06-03,Rain
1211,Catalunya,Barcelona,Spain,2023-06-04,No Rain
1212,Montreal,Montréal,Canada,2023-06-16,Rain
1212,Montreal,Montréal,Canada,2023-06-17,Rain
1212,Montreal,Montréal,Canada,2023-06-18,No Rain
1213,Spielberg,Spielberg,Austria,2023-06-30,No Rain
1213,Spielberg,Spielberg,Austria,2023-07-01,Rain
1213,Spielberg,Spielberg,Austria,2023-07-02,Rain
1214,Silverstone,Silverstone,Great Britain,2023-07-07,No Rain
1214,Silverstone,Silverstone,Great Britain,2023-07-08,Rain
1214,Silverstone,Silverstone,Great Britain,2023-07-09,No Rain
1215,Hungaroring,Budapest,Hungary,2023-07-21,Rain
1215,Hungaroring,Budapest,Hungary,2023-07-22,No Rain
1215,Hungaroring,Budapest,Hungary,2023-07-23,No Rain
1216,Spa-Francorchamps,Spa-Francorchamps,Belgium,2023-07-28,Rain
1216,Spa-Francorchamps,Spa-Francorchamps,Belgium,2023-07-29,Rain
1216,Spa-Francorchamps,Spa-Francorchamps,Belgium,2023-07-30,Rain
1217,Zandvoort,Zandvoort,Netherlands,2023-08-25,No Rain
1217,Zandvoort,Zandvoort,Netherlands,2023-08-26,Rain
1217,Zandvoort,Zandvoort,Netherlands,2023-08-27,Rain
